INTERVAL_START,split,acdcalls,acceptable,abncalls,slvlabns,acdtime,holdtime,acwtime,anstime,contactsactive
20250603T0800,44,19,18,0,0,917,66,647,139,0
20250603T0800,13,12,11,0,0,560,73,312,112,0
20250603T0830,44,33,30,1,1,1469,159,830,281,0
20250603T0830,13,17,16,0,0,1131,214,351,195,0
20250603T0900,44,53,48,0,0,3145,623,1313,458,0
20250603T0900,13,19,18,0,0,884,126,327,169,0
20250603T0930,44,55,50,0,0,1632,261,1623,533,0
20250603T0930,13,20,18,0,0,1595,203,576,66,0
20250603T1000,44,55,50,0,0,4282,82,1506,671,0
20250603T1000,13,23,21,0,0,1346,93,727,276,0
20250603T1030,44,53,48,2,1,2999,892,1486,503,0
20250603T1030,13,19,18,1,1,1020,106,610,228,0
20250603T1100,44,61,55,0,0,4534,290,1183,470,0
20250603T1100,13,20,18,1,1,1149,262,410,159,0
20250603T1130,44,58,53,0,0,3881,225,1349,404,0
20250603T1130,13,16,15,0,0,980,182,542,134,0
20250603T1200,44,47,43,0,0,3174,421,1285,421,0
20250603T1200,13,15,14,0,0,1257,118,207,109,0
20250603T1230,44,34,31,2,1,2274,250,976,260,0
20250603T1230,13,13,12,0,0,887,77,379,113,0
20250603T1300,44,46,42,0,0,3244,466,1463,393,0
20250603T1300,13,16,15,0,0,800,121,314,127,0
20250603T1330,44,46,42,2,1,3388,231,919,291,0
20250603T1330,13,18,17,1,1,1152,66,414,168,0
20250603T1400,44,53,48,0,0,4074,539,1494,399,0
20250603T1400,13,23,21,0,0,1850,236,717,219,0
20250603T1430,44,48,44,0,0,2360,427,742,347,0
20250603T1430,13,21,19,1,1,1259,96,623,114,0
20250603T1500,44,37,34,1,1,2173,385,708,351,0
20250603T1500,13,18,17,1,1,1131,230,294,129,0
20250603T1530,44,39,36,1,1,2007,367,968,321,0
20250603T1530,13,20,18,0,0,898,134,520,211,0
20250603T1600,44,37,34,0,0,2440,366,1276,413,0
20250603T1600,13,16,15,0,0,1072,192,466,37,0
20250603T1630,44,24,22,0,0,1447,130,546,199,0
20250603T1630,13,15,14,0,0,614,197,450,83,0
20250603T1700,44,19,18,0,0,1169,201,582,168,0
20250603T1700,13,10,9,0,0,697,111,261,69,0
20250603T1730,44,10,9,0,0,519,96,252,107,0
20250603T1730,13,7,7,0,0,410,54,108,44,0
