INTERVAL_START,split,logid,acdcalls,acdtime,holdtime,acwtime
20250605T0800,44,30128,8,479,95,220
20250605T0800,44,30143,7,419,83,192
20250605T0800,44,30157,5,299,60,137
20250605T0800,13,30201,6,358,46,178
20250605T0800,13,30215,5,293,38,146
20250605T0830,44,30128,15,741,163,472
20250605T0830,44,30143,13,649,142,413
20250605T0830,44,30157,10,463,102,295
20250605T0830,13,30201,10,794,28,227
20250605T0830,13,30215,9,649,23,185
20250605T0900,44,30128,18,1176,62,364
20250605T0900,44,30143,16,1029,55,318
20250605T0900,44,30157,12,735,39,227
20250605T0900,13,30201,10,565,105,189
20250605T0900,13,30215,9,463,86,155
20250605T0930,44,30128,23,1518,305,366
20250605T0930,44,30143,20,1328,267,320
20250605T0930,44,30157,14,949,190,229
20250605T0930,13,30201,13,870,122,410
20250605T0930,13,30215,10,712,99,335
20250605T1000,44,30128,23,1532,224,485
20250605T1000,44,30143,20,1340,196,424
20250605T1000,44,30157,14,958,140,303
20250605T1000,13,30201,13,888,118,377
20250605T1000,13,30215,10,726,97,308
20250605T1030,44,30128,24,1385,140,629
20250605T1030,44,30143,21,1212,122,551
20250605T1030,44,30157,15,866,87,393
20250605T1030,13,30201,13,745,144,307
20250605T1030,13,30215,10,610,117,251
20250605T1100,44,30128,24,1298,274,828
20250605T1100,44,30143,21,1136,240,724
20250605T1100,44,30157,15,811,172,518
20250605T1100,13,30201,11,774,41,287
20250605T1100,13,30215,9,634,33,235
20250605T1130,44,30128,25,1234,204,702
20250605T1130,44,30143,22,1079,179,614
20250605T1130,44,30157,16,771,128,438
20250605T1130,13,30201,10,546,61,148
20250605T1130,13,30215,8,446,50,121
20250605T1200,44,30128,16,1072,185,430
20250605T1200,44,30143,14,938,162,376
20250605T1200,44,30157,10,670,116,268
20250605T1200,13,30201,8,334,88,215
20250605T1200,13,30215,6,274,72,176
20250605T1230,44,30128,14,496,156,378
20250605T1230,44,30143,13,434,136,330
20250605T1230,44,30157,9,310,97,236
20250605T1230,13,30201,8,433,81,198
20250605T1230,13,30215,6,355,67,162
20250605T1300,44,30128,20,1145,115,453
20250605T1300,44,30143,17,1002,101,396
20250605T1300,44,30157,12,716,72,283
20250605T1300,13,30201,9,619,36,252
20250605T1300,13,30215,8,507,29,207
20250605T1330,44,30128,20,1600,138,549
20250605T1330,44,30143,18,1400,121,480
20250605T1330,44,30157,13,1000,86,343
20250605T1330,13,30201,10,618,119,270
20250605T1330,13,30215,9,505,98,220
20250605T1400,44,30128,21,899,163,719
20250605T1400,44,30143,18,787,143,629
20250605T1400,44,30157,13,562,102,449
20250605T1400,13,30201,14,721,107,339
20250605T1400,13,30215,11,590,88,277
20250605T1430,44,30128,22,1422,84,432
20250605T1430,44,30143,19,1245,74,378
20250605T1430,44,30157,14,889,53,270
20250605T1430,13,30201,13,888,122,397
20250605T1430,13,30215,11,726,99,324
20250605T1500,44,30128,18,684,105,471
20250605T1500,44,30143,16,598,92,412
20250605T1500,44,30157,12,427,66,294
20250605T1500,13,30201,11,779,91,348
20250605T1500,13,30215,9,637,75,285
20250605T1530,44,30128,14,350,126,484
20250605T1530,44,30143,12,306,110,424
20250605T1530,44,30157,9,218,79,302
20250605T1530,13,30201,10,444,94,273
20250605T1530,13,30215,9,364,76,223
20250605T1600,44,30128,14,544,124,299
20250605T1600,44,30143,12,476,109,262
20250605T1600,44,30157,8,340,78,187
20250605T1600,13,30201,10,578,126,348
20250605T1600,13,30215,8,472,103,285
20250605T1630,44,30128,12,617,53,340
20250605T1630,44,30143,10,540,46,297
20250605T1630,44,30157,8,386,33,212
20250605T1630,13,30201,8,505,45,263
20250605T1630,13,30215,7,413,36,216
20250605T1700,44,30128,8,504,51,290
20250605T1700,44,30143,7,441,44,254
20250605T1700,44,30157,5,315,32,182
20250605T1700,13,30201,6,372,14,157
20250605T1700,13,30215,4,304,11,128
20250605T1730,44,30128,4,268,36,108
20250605T1730,44,30143,4,235,31,94
20250605T1730,44,30157,2,168,22,68
20250605T1730,13,30201,4,260,43,118
20250605T1730,13,30215,3,213,35,96
