INTERVAL_START,logid,da_acdcalls,da_acdtime,i_availtime,ti_auxtime,o_acdcalls,o_acdtime,i_stafftime
20250620T0800,30128,8,348,1359,93,0,0,1800
20250620T0800,30143,7,304,1427,69,0,0,1800
20250620T0800,30157,5,218,1491,91,0,0,1800
20250620T0800,30201,6,383,1309,108,0,0,1800
20250620T0800,30215,5,314,1399,87,0,0,1800
20250620T0830,30128,13,910,803,87,0,0,1800
20250620T0830,30143,12,796,918,86,0,0,1800
20250620T0830,30157,8,569,1161,70,0,0,1800
20250620T0830,30201,9,372,1364,64,0,0,1800
20250620T0830,30215,7,304,1398,98,0,0,1800
20250620T0900,30128,17,1106,589,105,0,0,1800
20250620T0900,30143,15,968,761,71,0,0,1800
20250620T0900,30157,11,692,986,122,0,0,1800
20250620T0900,30201,11,738,967,95,0,0,1800
20250620T0900,30215,9,603,1084,113,0,0,1800
20250620T0930,30128,19,917,786,97,0,0,1800
20250620T0930,30143,16,803,882,115,0,0,1800
20250620T0930,30157,12,573,1154,73,0,0,1800
20250620T0930,30201,9,605,1086,109,0,0,1800
20250620T0930,30215,7,495,1227,78,0,0,1800
20250620T1000,30128,19,1090,630,80,0,0,1800
20250620T1000,30143,16,954,780,66,0,0,1800
20250620T1000,30157,12,682,969,149,0,0,1800
20250620T1000,30201,10,640,1066,94,0,0,1800
20250620T1000,30215,9,523,1156,121,0,0,1800
20250620T1030,30128,20,1380,377,43,0,0,1800
20250620T1030,30143,18,1208,521,71,0,0,1800
20250620T1030,30157,13,863,847,90,0,0,1800
20250620T1030,30201,11,635,1095,70,0,0,1800
20250620T1030,30215,9,520,1188,92,0,0,1800
20250620T1100,30128,24,1822,0,90,0,0,1800
20250620T1100,30143,21,1594,97,109,0,0,1800
20250620T1100,30157,15,1138,598,64,0,0,1800
20250620T1100,30201,10,520,1188,92,0,0,1800
20250620T1100,30215,8,425,1311,64,0,0,1800
20250620T1130,30128,19,888,832,80,0,0,1800
20250620T1130,30143,16,777,925,98,0,0,1800
20250620T1130,30157,12,555,1159,86,0,0,1800
20250620T1130,30201,9,402,1307,91,0,0,1800
20250620T1130,30215,7,328,1364,108,0,0,1800
20250620T1200,30128,15,906,787,107,0,0,1800
20250620T1200,30143,13,793,924,83,0,0,1800
20250620T1200,30157,9,566,1146,88,0,0,1800
20250620T1200,30201,8,422,1280,98,0,0,1800
20250620T1200,30215,6,345,1339,116,0,0,1800
20250620T1230,30128,13,600,1119,81,0,0,1800
20250620T1230,30143,12,525,1179,96,0,0,1800
20250620T1230,30157,8,375,1359,66,0,0,1800
20250620T1230,30201,7,489,1188,123,0,0,1800
20250620T1230,30215,5,400,1343,57,0,0,1800
20250620T1300,30128,15,1052,626,122,0,0,1800
20250620T1300,30143,13,920,796,84,0,0,1800
20250620T1300,30157,9,657,1059,84,0,0,1800
20250620T1300,30201,8,559,1158,83,0,0,1800
20250620T1300,30215,7,458,1255,87,0,0,1800
20250620T1330,30128,18,1138,556,106,0,0,1800
20250620T1330,30143,15,996,739,65,0,0,1800
20250620T1330,30157,11,711,988,101,0,0,1800
20250620T1330,30201,8,602,1113,85,0,0,1800
20250620T1330,30215,7,492,1198,110,0,0,1800
20250620T1400,30128,21,992,724,84,0,0,1800
20250620T1400,30143,18,868,810,122,0,0,1800
20250620T1400,30157,13,620,1085,95,0,0,1800
20250620T1400,30201,12,655,1053,92,0,0,1800
20250620T1400,30215,9,536,1148,116,0,0,1800
20250620T1430,30128,17,970,741,89,0,0,1800
20250620T1430,30143,15,849,867,84,0,0,1800
20250620T1430,30157,10,606,1080,114,0,0,1800
20250620T1430,30201,12,798,907,95,0,0,1800
20250620T1430,30215,9,652,1059,89,0,0,1800
20250620T1500,30128,16,1010,707,83,0,0,1800
20250620T1500,30143,14,883,803,114,0,0,1800
20250620T1500,30157,10,631,1062,107,0,0,1800
20250620T1500,30201,10,439,1270,91,0,0,1800
20250620T1500,30215,8,360,1379,61,0,0,1800
20250620T1530,30128,15,866,862,72,0,0,1800
20250620T1530,30143,13,758,933,109,0,0,1800
20250620T1530,30157,9,542,1126,132,0,0,1800
20250620T1530,30201,10,536,1152,112,0,0,1800
20250620T1530,30215,9,439,1278,83,0,0,1800
20250620T1600,30128,12,670,1030,100,0,0,1800
20250620T1600,30143,10,587,1143,70,0,0,1800
20250620T1600,30157,8,419,1267,114,0,0,1800
20250620T1600,30201,8,544,1167,89,0,0,1800
20250620T1600,30215,7,445,1271,84,0,0,1800
20250620T1630,30128,10,397,1300,103,0,0,1800
20250620T1630,30143,9,347,1371,82,0,0,1800
20250620T1630,30157,6,248,1462,90,0,0,1800
20250620T1630,30201,6,422,1293,85,0,0,1800
20250620T1630,30215,5,346,1366,88,0,0,1800
20250620T1700,30128,8,469,1246,85,0,0,1800
20250620T1700,30143,7,410,1291,99,0,0,1800
20250620T1700,30157,5,293,1455,52,0,0,1800
20250620T1700,30201,6,297,1388,115,0,0,1800
20250620T1700,30215,4,243,1501,56,0,0,1800
20250620T1730,30128,4,194,1544,62,0,0,1800
20250620T1730,30143,3,170,1563,67,0,0,1800
20250620T1730,30157,2,121,1623,56,0,0,1800
20250620T1730,30201,3,218,1498,84,0,0,1800
20250620T1730,30215,3,179,1518,103,0,0,1800
