INTERVAL_START,split,logid,acdcalls,acdtime,holdtime,acwtime
20250714T0800,44,30128,9,621,38,282
20250714T0800,44,30143,8,543,33,246
20250714T0800,44,30157,6,388,24,176
20250714T0800,13,30201,7,356,20,106
20250714T0800,13,30215,5,291,17,87
20250714T0830,44,30128,14,749,126,319
20250714T0830,44,30143,13,656,111,279
20250714T0830,44,30157,9,468,79,199
20250714T0830,13,30201,9,536,73,166
20250714T0830,13,30215,7,438,60,136
20250714T0900,44,30128,21,1311,111,590
20250714T0900,44,30143,18,1147,97,517
20250714T0900,44,30157,13,819,70,369
20250714T0900,13,30201,12,654,95,326
20250714T0900,13,30215,9,536,78,267
20250714T0930,44,30128,25,1099,126,443
20250714T0930,44,30143,22,961,110,387
20250714T0930,44,30157,16,687,78,277
20250714T0930,13,30201,12,850,113,327
20250714T0930,13,30215,9,696,92,268
20250714T1000,44,30128,22,813,105,512
20250714T1000,44,30143,20,711,92,448
20250714T1000,44,30157,14,508,66,320
20250714T1000,13,30201,13,756,55,375
20250714T1000,13,30215,11,618,45,306
20250714T1030,44,30128,21,1516,134,509
20250714T1030,44,30143,18,1326,118,445
20250714T1030,44,30157,13,947,84,318
20250714T1030,13,30201,12,838,64,241
20250714T1030,13,30215,9,686,52,197
20250714T1100,44,30128,25,1489,188,637
20250714T1100,44,30143,22,1303,164,558
20250714T1100,44,30157,16,930,118,398
20250714T1100,13,30201,9,488,80,220
20250714T1100,13,30215,8,400,66,180
20250714T1130,44,30128,24,1260,192,644
20250714T1130,44,30143,21,1102,168,563
20250714T1130,44,30157,15,788,120,402
20250714T1130,13,30201,12,723,131,344
20250714T1130,13,30215,9,592,108,282
20250714T1200,44,30128,20,1158,129,409
20250714T1200,44,30143,18,1013,113,358
20250714T1200,44,30157,12,724,80,256
20250714T1200,13,30201,8,390,66,118
20250714T1200,13,30215,7,319,54,96
20250714T1230,44,30128,14,1006,184,304
20250714T1230,44,30143,12,881,161,266
20250714T1230,44,30157,8,629,115,190
20250714T1230,13,30201,7,442,69,173
20250714T1230,13,30215,6,362,57,141
20250714T1300,44,30128,19,1130,157,610
20250714T1300,44,30143,16,989,137,534
20250714T1300,44,30157,12,706,98,382
20250714T1300,13,30201,9,438,38,250
20250714T1300,13,30215,7,358,32,204
20250714T1330,44,30128,25,1387,123,615
20250714T1330,44,30143,22,1213,108,538
20250714T1330,44,30157,16,867,77,384
20250714T1330,13,30201,11,391,153,201
20250714T1330,13,30215,9,320,125,165
20250714T1400,44,30128,23,1642,94,557
20250714T1400,44,30143,20,1436,82,487
20250714T1400,44,30157,14,1026,58,348
20250714T1400,13,30201,13,741,21,271
20250714T1400,13,30215,11,606,18,221
20250714T1430,44,30128,22,1281,170,537
20250714T1430,44,30143,19,1121,149,470
20250714T1430,44,30157,14,800,106,336
20250714T1430,13,30201,11,930,69,163
20250714T1430,13,30215,9,761,56,133
20250714T1500,44,30128,21,1482,258,390
20250714T1500,44,30143,19,1297,225,342
20250714T1500,44,30157,13,926,161,244
20250714T1500,13,30201,14,901,116,314
20250714T1500,13,30215,11,737,95,256
20250714T1530,44,30128,15,847,156,461
20250714T1530,44,30143,13,741,136,403
20250714T1530,44,30157,10,529,97,288
20250714T1530,13,30201,12,790,54,181
20250714T1530,13,30215,10,646,44,148
20250714T1600,44,30128,15,751,52,304
20250714T1600,44,30143,13,657,46,266
20250714T1600,44,30157,9,469,32,190
20250714T1600,13,30201,12,717,89,244
20250714T1600,13,30215,9,586,72,200
20250714T1630,44,30128,9,592,46,228
20250714T1630,44,30143,8,518,41,200
20250714T1630,44,30157,6,370,29,143
20250714T1630,13,30201,9,717,105,260
20250714T1630,13,30215,8,587,86,212
20250714T1700,44,30128,8,446,71,196
20250714T1700,44,30143,7,391,62,172
20250714T1700,44,30157,5,279,44,123
20250714T1700,13,30201,7,389,53,201
20250714T1700,13,30215,5,319,44,165
20250714T1730,44,30128,4,201,35,68
20250714T1730,44,30143,3,176,30,59
20250714T1730,44,30157,2,126,22,42
20250714T1730,13,30201,4,290,31,65
20250714T1730,13,30215,3,237,25,53
