INTERVAL_START,logid,da_acdcalls,da_acdtime,i_availtime,ti_auxtime,o_acdcalls,o_acdtime,i_stafftime
20250714T0800,30128,9,621,1089,90,0,0,1800
20250714T0800,30143,8,543,1201,56,0,0,1800
20250714T0800,30157,6,388,1339,73,0,0,1800
20250714T0800,30201,7,356,1386,58,0,0,1800
20250714T0800,30215,5,291,1417,92,0,0,1800
20250714T0830,30128,14,749,949,102,0,0,1800
20250714T0830,30143,13,656,1052,92,0,0,1800
20250714T0830,30157,9,468,1245,87,0,0,1800
20250714T0830,30201,9,536,1162,102,0,0,1800
20250714T0830,30215,7,438,1282,80,0,0,1800
20250714T0900,30128,21,1311,415,74,0,0,1800
20250714T0900,30143,18,1147,566,87,0,0,1800
20250714T0900,30157,13,819,892,89,0,0,1800
20250714T0900,30201,12,654,1070,76,0,0,1800
20250714T0900,30215,9,536,1210,54,0,0,1800
20250714T0930,30128,25,1099,605,96,0,0,1800
20250714T0930,30143,22,961,754,85,0,0,1800
20250714T0930,30157,16,687,1045,68,0,0,1800
20250714T0930,30201,12,850,833,117,0,0,1800
20250714T0930,30215,9,696,1023,81,0,0,1800
20250714T1000,30128,22,813,898,89,0,0,1800
20250714T1000,30143,20,711,988,101,0,0,1800
20250714T1000,30157,14,508,1180,112,0,0,1800
20250714T1000,30201,13,756,978,66,0,0,1800
20250714T1000,30215,11,618,1092,90,0,0,1800
20250714T1030,30128,21,1516,211,73,0,0,1800
20250714T1030,30143,18,1326,383,91,0,0,1800
20250714T1030,30157,13,947,797,56,0,0,1800
20250714T1030,30201,12,838,877,85,0,0,1800
20250714T1030,30215,9,686,1031,83,0,0,1800
20250714T1100,30128,25,1489,234,77,0,0,1800
20250714T1100,30143,22,1303,416,81,0,0,1800
20250714T1100,30157,16,930,753,117,0,0,1800
20250714T1100,30201,9,488,1213,99,0,0,1800
20250714T1100,30215,8,400,1325,75,0,0,1800
20250714T1130,30128,24,1260,437,103,0,0,1800
20250714T1130,30143,21,1102,599,99,0,0,1800
20250714T1130,30157,15,788,906,106,0,0,1800
20250714T1130,30201,12,723,987,90,0,0,1800
20250714T1130,30215,9,592,1133,75,0,0,1800
20250714T1200,30128,20,1158,564,78,0,0,1800
20250714T1200,30143,18,1013,667,120,0,0,1800
20250714T1200,30157,12,724,1004,72,0,0,1800
20250714T1200,30201,8,390,1338,72,0,0,1800
20250714T1200,30215,7,319,1353,128,0,0,1800
20250714T1230,30128,14,1006,714,80,0,0,1800
20250714T1230,30143,12,881,845,74,0,0,1800
20250714T1230,30157,8,629,1086,85,0,0,1800
20250714T1230,30201,7,442,1290,68,0,0,1800
20250714T1230,30215,6,362,1357,81,0,0,1800
20250714T1300,30128,19,1130,582,88,0,0,1800
20250714T1300,30143,16,989,727,84,0,0,1800
20250714T1300,30157,12,706,986,108,0,0,1800
20250714T1300,30201,9,438,1270,92,0,0,1800
20250714T1300,30215,7,358,1353,89,0,0,1800
20250714T1330,30128,25,1387,334,79,0,0,1800
20250714T1330,30143,22,1213,495,92,0,0,1800
20250714T1330,30157,16,867,837,96,0,0,1800
20250714T1330,30201,11,391,1331,78,0,0,1800
20250714T1330,30215,9,320,1367,113,0,0,1800
20250714T1400,30128,23,1642,75,83,0,0,1800
20250714T1400,30143,20,1436,274,90,0,0,1800
20250714T1400,30157,14,1026,684,90,0,0,1800
20250714T1400,30201,13,741,978,81,0,0,1800
20250714T1400,30215,11,606,1133,61,0,0,1800
20250714T1430,30128,22,1281,422,97,0,0,1800
20250714T1430,30143,19,1121,581,98,0,0,1800
20250714T1430,30157,14,800,919,81,0,0,1800
20250714T1430,30201,11,930,800,70,0,0,1800
20250714T1430,30215,9,761,926,113,0,0,1800
20250714T1500,30128,21,1482,232,86,0,0,1800
20250714T1500,30143,19,1297,420,83,0,0,1800
20250714T1500,30157,13,926,785,89,0,0,1800
20250714T1500,30201,14,901,801,98,0,0,1800
20250714T1500,30215,11,737,982,81,0,0,1800
20250714T1530,30128,15,847,853,100,0,0,1800
20250714T1530,30143,13,741,968,91,0,0,1800
20250714T1530,30157,10,529,1184,87,0,0,1800
20250714T1530,30201,12,790,929,81,0,0,1800
20250714T1530,30215,10,646,1049,105,0,0,1800
20250714T1600,30128,15,751,981,68,0,0,1800
20250714T1600,30143,13,657,1034,109,0,0,1800
20250714T1600,30157,9,469,1255,76,0,0,1800
20250714T1600,30201,12,717,975,108,0,0,1800
20250714T1600,30215,9,586,1106,108,0,0,1800
20250714T1630,30128,9,592,1127,81,0,0,1800
20250714T1630,30143,8,518,1211,71,0,0,1800
20250714T1630,30157,6,370,1336,94,0,0,1800
20250714T1630,30201,9,717,990,93,0,0,1800
20250714T1630,30215,8,587,1121,92,0,0,1800
20250714T1700,30128,8,446,1236,118,0,0,1800
20250714T1700,30143,7,391,1320,89,0,0,1800
20250714T1700,30157,5,279,1409,112,0,0,1800
20250714T1700,30201,7,389,1321,90,0,0,1800
20250714T1700,30215,5,319,1401,80,0,0,1800
20250714T1730,30128,4,201,1487,112,0,0,1800
20250714T1730,30143,3,176,1523,101,0,0,1800
20250714T1730,30157,2,126,1590,84,0,0,1800
20250714T1730,30201,4,290,1408,102,0,0,1800
20250714T1730,30215,3,237,1439,124,0,0,1800
