INTERVAL_START,split,acdcalls,acceptable,abncalls,slvlabns,acdtime,holdtime,acwtime,anstime,contactsactive
20250714T0800,47,23,21,0,0,1552,95,704,145,0
20250714T0800,13,12,11,0,0,647,37,193,119,0
20250714T0830,47,36,33,0,0,1873,316,797,219,0
20250714T0830,13,16,15,1,1,974,133,302,154,0
20250714T0900,47,52,47,0,0,3277,278,1476,258,0
20250714T0900,13,21,19,0,0,1190,173,593,134,0
20250714T0930,47,62,56,1,1,2747,314,1107,420,0
20250714T0930,13,21,19,0,0,1546,205,595,183,0
20250714T1000,47,56,51,2,1,2032,262,1280,392,0
20250714T1000,13,24,22,0,0,1374,100,681,138,0
20250714T1030,47,52,47,0,0,3789,336,1272,303,0
20250714T1030,13,21,19,1,1,1524,116,438,251,0
20250714T1100,47,62,56,1,1,3722,470,1593,439,0
20250714T1100,13,17,16,0,0,888,146,400,101,0
20250714T1130,47,59,54,3,1,3150,479,1609,319,0
20250714T1130,13,21,19,0,0,1315,239,626,119,0
20250714T1200,47,50,45,0,0,2895,322,1023,245,0
20250714T1200,13,15,14,0,0,709,120,214,58,0
20250714T1230,47,34,31,0,0,2516,459,761,269,0
20250714T1230,13,13,12,0,0,804,126,314,90,0
20250714T1300,47,47,43,1,1,2826,392,1526,386,0
20250714T1300,13,16,15,0,0,796,70,454,156,0
20250714T1330,47,62,56,0,0,3467,308,1537,649,0
20250714T1330,13,20,18,1,1,710,278,366,103,0
20250714T1400,47,58,53,0,0,4104,234,1392,424,0
20250714T1400,13,24,22,1,1,1347,39,492,292,0
20250714T1430,47,54,49,1,1,3202,425,1343,316,0
20250714T1430,13,20,18,1,1,1691,125,296,116,0
20250714T1500,47,53,48,0,0,3706,644,976,362,0
20250714T1500,13,25,23,0,0,1638,211,570,282,0
20250714T1530,47,38,35,1,1,2117,389,1152,350,0
20250714T1530,13,22,20,0,0,1436,98,329,120,0
20250714T1600,47,37,34,0,0,1877,130,759,168,0
20250714T1600,13,21,19,0,0,1303,161,444,181,0
20250714T1630,47,23,21,0,0,1479,116,571,166,0
20250714T1630,13,17,16,0,0,1304,190,472,136,0
20250714T1700,47,21,19,1,1,1116,178,491,162,0
20250714T1700,13,12,11,0,0,708,97,366,108,0
20250714T1730,47,9,9,0,0,502,87,170,67,0
20250714T1730,13,7,7,0,0,527,56,118,61,0
